caseNo,round,businessDate,scenario,expectedIntent,actualIntent,intentMatched,taskId,reportId,traceId,taskStatus,reportStatus,passed,wallClockDurationMs,taskDurationMs,toolInvocationCount,toolSuccessCount,toolCodes,markdownLength,gmv,orderCount,refundRate,negativeCount,productCandidateCount,adCost,adRoi,externalVisitors,errorMessage
61,3,2018-08-02,daily_review,daily_review,daily_review,True,232,197,tr_628e45511a2043a49bf5ba98832fd38d,SUCCESS,SUCCESS,True,770,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2997,45932.7,302,0.0074,59,10,,8.9793,,
62,3,2018-08-02,comment_risk,comment_risk,comment_risk,True,233,198,tr_399ae283fd37476899b6499bf619e748,SUCCESS,SUCCESS,True,772.8,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2016,45932.7,302,0.0074,59,10,,,,
63,3,2018-08-02,product_optimization,product_optimization,product_optimization,True,234,199,tr_f98baeeac6a24652b47a2d586ac71c2a,SUCCESS,SUCCESS,True,577.8,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1947,45932.7,302,0.0074,59,10,,,,
64,3,2018-08-02,ad_anomaly,ad_anomaly,ad_anomaly,True,235,200,tr_28b7304996204f179e3987d1dbdc8ff3,SUCCESS,SUCCESS,True,703,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1061,45932.7,302,0.0074,0,0,,8.9793,,
65,3,2018-08-03,daily_review,daily_review,daily_review,True,236,201,tr_c590937073424378a54935b7cf2ef0b7,SUCCESS,SUCCESS,True,794,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2919,49517.59,314,0.0062,50,10,,9.6186,,
66,3,2018-08-03,comment_risk,comment_risk,comment_risk,True,237,202,tr_857373b19cc948a7997b7723e7197509,SUCCESS,SUCCESS,True,603.1,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1934,49517.59,314,0.0062,50,10,,,,
67,3,2018-08-03,product_optimization,product_optimization,product_optimization,True,238,203,tr_4a54933800fc4319a0ed44da87e7b9c4,SUCCESS,SUCCESS,True,592.2,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1866,49517.59,314,0.0062,50,10,,,,
68,3,2018-08-03,ad_anomaly,ad_anomaly,ad_anomaly,True,239,204,tr_309496b9fa0340eba34bf2c24bb97684,SUCCESS,SUCCESS,True,582.8,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1062,49517.59,314,0.0062,0,0,,9.6186,,
69,3,2018-08-04,daily_review,daily_review,daily_review,True,240,205,tr_5c9c13b945c34cdb8940c6c130443b28,SUCCESS,SUCCESS,True,831.5,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,3016,41239.97,245,0.004,66,10,,9.6852,,
70,3,2018-08-04,comment_risk,comment_risk,comment_risk,True,241,206,tr_7c806143a6a841afaae8a288a0680fda,SUCCESS,SUCCESS,True,758.2,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2030,41239.97,245,0.004,66,10,,,,
71,3,2018-08-04,product_optimization,product_optimization,product_optimization,True,242,207,tr_30d9c91c565a4d90b94650551f5d5df3,SUCCESS,SUCCESS,True,630.9,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1962,41239.97,245,0.004,66,10,,,,
72,3,2018-08-04,ad_anomaly,ad_anomaly,ad_anomaly,True,243,208,tr_d0f4a38a9a634482812fb57b8f504a27,SUCCESS,SUCCESS,True,564.8,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,41239.97,245,0.004,0,0,,9.6852,,
73,3,2018-08-05,daily_review,daily_review,daily_review,True,244,209,tr_f45db822dede4ec4a52be96ca18a40de,SUCCESS,SUCCESS,True,933.2,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2983,42272.07,276,0.0046,27,10,,8.5506,,
74,3,2018-08-05,comment_risk,comment_risk,comment_risk,True,245,210,tr_31b94552d657489780e2283567f5abf0,SUCCESS,SUCCESS,True,612.3,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1996,42272.07,276,0.0046,27,10,,,,
75,3,2018-08-05,product_optimization,product_optimization,product_optimization,True,246,211,tr_72cccd42176748bea1b0d2a7623689c5,SUCCESS,SUCCESS,True,582.4,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1928,42272.07,276,0.0046,27,10,,,,
76,3,2018-08-05,ad_anomaly,ad_anomaly,ad_anomaly,True,247,212,tr_5342dbe57e564f6abdb4e72a15531f23,SUCCESS,SUCCESS,True,583.4,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1066,42272.07,276,0.0046,0,0,,8.5506,,
77,3,2018-08-06,daily_review,daily_review,daily_review,True,248,213,tr_0091763aabb44dd0aa70941f255a680d,SUCCESS,SUCCESS,True,753,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2337,65860.43,372,0.0415,2,2,,9.2969,,
78,3,2018-08-06,comment_risk,comment_risk,comment_risk,True,249,214,tr_57eab59691d1468a91024b2324bf452a,SUCCESS,SUCCESS,True,528.6,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1367,65860.43,372,0.0415,2,2,,,,
79,3,2018-08-06,product_optimization,product_optimization,product_optimization,True,250,215,tr_7c0157c298a148a5aa79ce964c1c05ac,SUCCESS,SUCCESS,True,589.9,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1376,65860.43,372,0.0415,2,2,,,,
80,3,2018-08-06,ad_anomaly,ad_anomaly,ad_anomaly,True,251,216,tr_9add05a34fba4ab581d329cac3d7b143,SUCCESS,SUCCESS,True,758.9,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1060,65860.43,372,0.0415,0,0,,9.2969,,
81,3,2018-08-07,daily_review,daily_review,daily_review,True,252,217,tr_1693374a9d854bddb71f72a49e5106d4,SUCCESS,SUCCESS,True,873.3,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2958,62057.77,370,0.0763,51,10,,9.0897,,
82,3,2018-08-07,comment_risk,comment_risk,comment_risk,True,253,218,tr_9c459f3c994e42cfa002dbb42b529a26,SUCCESS,SUCCESS,True,720.5,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1970,62057.77,370,0.0763,51,10,,,,
83,3,2018-08-07,product_optimization,product_optimization,product_optimization,True,254,219,tr_2cc46ff1161844fdac697e9718c9e5ec,SUCCESS,SUCCESS,True,573.3,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1902,62057.77,370,0.0763,51,10,,,,
84,3,2018-08-07,ad_anomaly,ad_anomaly,ad_anomaly,True,255,220,tr_f92d0ac8404b464e9a4c1208184dcc3e,SUCCESS,SUCCESS,True,586.1,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,62057.77,370,0.0763,0,0,,9.0897,,
85,4,2018-08-01,daily_review,daily_review,daily_review,True,256,221,tr_6ca054ec1eb54ee3817def0ef989a40c,SUCCESS,SUCCESS,True,700.4,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2961,48850.81,311,0.0116,58,10,,9.1229,,
86,4,2018-08-01,comment_risk,comment_risk,comment_risk,True,257,222,tr_a64a7d626427481897a8ff70adf6da8f,SUCCESS,SUCCESS,True,624.8,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1975,48850.81,311,0.0116,58,10,,,,
87,4,2018-08-01,product_optimization,product_optimization,product_optimization,True,258,223,tr_196196235a22423fafe20d3ace0f8414,SUCCESS,SUCCESS,True,633.6,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1907,48850.81,311,0.0116,58,10,,,,
88,4,2018-08-01,ad_anomaly,ad_anomaly,ad_anomaly,True,259,224,tr_d5896f2eb4744f899a1891806419e80c,SUCCESS,SUCCESS,True,582.7,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1063,48850.81,311,0.0116,0,0,,9.1229,,
89,4,2018-08-02,daily_review,daily_review,daily_review,True,260,225,tr_11527145cc0849d592f6ea65f3acf83e,SUCCESS,SUCCESS,True,788.1,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2997,45932.7,302,0.0074,59,10,,8.9793,,
90,4,2018-08-02,comment_risk,comment_risk,comment_risk,True,261,226,tr_fbbedf3916c44bc48be7717099d65c8d,SUCCESS,SUCCESS,True,625.9,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2016,45932.7,302,0.0074,59,10,,,,
91,4,2018-08-02,product_optimization,product_optimization,product_optimization,True,262,227,tr_0e176b15443c4efca3e7747a68bf1a84,SUCCESS,SUCCESS,True,565.4,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1947,45932.7,302,0.0074,59,10,,,,
